0.42,45
0.46,50
0.50,57
0.54,60
0.58,67
0.63,62
0.67,66
0.71,53
0.75,56
0.79,59
0.83,41
0.88,42
0.92,49
0.96,45
0.00,49
0.04,55
0.08,68
0.13,68
0.17,64
0.21,65
0.25,53
0.29,55
0.33,63
0.38,63
0.42,51
0.46,45
0.50,49
0.54,54
0.58,65
0.63,67
0.67,47
0.71,34
0.75,34
0.79,49
0.83,43
0.88,34
0.92,34
0.96,39
0.00,42
0.04,52
0.08,52
0.13,39
0.17,42
0.21,49
0.25,51
0.29,52
0.33,57
0.38,57
0.42,63
0.46,66
0.50,66
0.54,60
0.58,65
0.63,70
0.67,71
0.71,73
0.75,64
0.79,58
0.83,68
0.88,66
0.92,71
0.96,73
0.00,62
0.04,64
0.08,66
0.13,71
0.17,72
0.21,74
0.25,76
0.29,76
0.33,76
0.38,63
0.42,64
0.46,75
0.50,78
0.54,74
0.58,79
0.63,65
0.67,65
0.71,75
0.75,76
0.79,67
0.83,69
0.88,74
0.92,71
0.96,66
0.00,73
0.04,64
0.08,66
0.13,74
0.17,77
0.21,77
0.25,82
0.29,78
0.33,74
0.38,59
